Application,VulnType,Config,Phuzz,BurpSuite Professional,ZAP,Wapiti
bWAPP,HTTP-Header-Injection,http_response_splitting,✓,✓,×,×
bWAPP,LDAP-Injection,ldapi,✓,✓,×,×
bWAPP,HTTP-Header-Injection,redirect1,✓,✓,×,×
bWAPP,HTTP-Header-Injection,redirect2,✓,×,×,×
bWAPP,SSRF,rlfi,✓,✓,×,✓
,,,,,,
NoSQL,NoSQL-Injection,nosqli,✓,×,×,Nicht unterstützt.
,,,,,,
Testsuite,HTTP-Header-Injection,openredirect1,✓,×,×,×
Testsuite,HTTP-Header-Injection,openredirect2,✓,✓,×,×
Testsuite,SSRF,file_file_get_contents1,✓,×,×,×
Testsuite,SSRF,file_file1,✓,×,×,×
Testsuite,SSRF,file_fopen1,✓,×,×,×
Testsuite,SSRF,file_readfile1,✓,×,×,×
,,,,,,
XVWA,SSRF,fi,✓,✓,×,✓
XVWA,HTTP-Header-Injection,redirect,✓,✓,×,×
XVWA,SSRF,ssrf_xspa,✓,✓,×,✓
XVWA,SSTI,ssti,✓,✓,×,Nicht unterstützt.
